id,retweet_count,favorite_count
892420643555336193,7788,36584
892177421306343426,5769,31519
891815181378084864,3818,23752
891689557279858688,7960,39907
891327558926688256,8594,38108
891087950875897856,2870,19167
890971913173991426,1881,11168
890729181411237888,17391,61681
890609185150312448,3956,26409
890240255349198849,6772,30204
890006608113172480,6764,29060
889880896479866881,4603,26404
889665388333682689,9229,45509
889638837579907072,4142,25635
889531135344209921,2081,14319
889278841981685760,4926,23856
888917238123831296,4153,27576
888804989199671297,3925,24229
888554962724278272,3220,18721
888078434458587136,3195,20622
887705289381826560,4960,28612
887517139158093824,10840,43867
887473957103951883,16616,65230
887343217045368832,9642,31883
887101392804085760,5497,28995
886983233522544640,7092,33153
886736880519319552,2971,11368
886680336477933568,4118,21274
886366144734445568,2921,20024
886267009285017600,4,113
886258384151887873,5821,26502
886054160059072513,100,0
885984800019947520,6198,30857
885528943205470208,5888,34056
885518971528720385,3446,19395
885311592912609280,17112,0
885167619883638784,4036,20739
884925521741709313,16704,73164
884876753390489601,5157,26394
884562892145688576,4339,23006
884441805382717440,5244,25624
884247878851493888,18789,68955
884162670584377345,2760,19323
883838122936631299,3180,20700
883482846933004288,9118,43444
883360690899218434,3422,21496
883117836046086144,6122,35151
882992080364220416,3594,22637
882762694511734784,4516,26794
882627270321602560,5606,26503
882268110199369728,10700,42506
882045870035918850,4519,27777
881906580714921986,3131,23051
881666595344535552,9865,47974
881633300179243008,7,120
881536004380872706,14741,46860
881268444196462592,4845,21980
880935762899988482,2575,16160
880872448815771648,3534,20168
880465832366813184,5756,27019
880221127280381952,3852,25584
880095782870896641,4009,26187
879862464715927552,3233,21187
879674319642796034,10,297
879492040517615616,2944,22253
879415818425184262,41058,100301
879376492567855104,2897,15935
879130579576475649,6284,0
879050749262655488,4322,21380
879008229531029506,2479,18007
878776093423087618,3779,18371
878604707211726852,6588,28597
878404777348136964,1192,0
878316110768087041,6169,0
878281511006478336,1192,7332
878057613040115712,6284,39913
877736472329191424,17543,75375
877611172832227328,74,0
877556246731214848,3530,21553
877316821321428993,4802,26008
877201837425926144,5177,25718
876838120628539392,3090,19623
876537666061221889,4334,22417
876484053909872640,2204,17830
876120275196170240,4323,26568
875747767867523072,3963,23904
875144289856114688,4558,20807
875097192612077568,5643,26093
875021211251597312,4391,24218
874680097055178752,4298,26447
874434818259525634,13504,0
874296783580663808,3814,24756
874057562936811520,3689,21599
874012996292530176,9564,32701
873580283840344065,3651,23045
873337748698140672,1484,0
873213775632977920,1484,6821
872967104147763200,5057,25994
872820683541237760,3460,14028
872620804844003328,3404,19758
872486979161796608,8420,38834
872122724285648897,7549,32743
871879754684805121,10291,35948
871762521631449091,3249,19317
871515927908634625,3243,19250
871166179821445120,5342,0
871102520638267392,5160,19994
871032628920680449,3579,21718
870804317367881728,5801,32156
870726314365509632,3,117
870656317836468226,2474,11840
870374049280663552,24791,79266
870308999962521604,3887,20936
870063196459192321,7802,34998
869772420881756160,9483,40695
869702957897576449,5927,27034
869596645499047938,2937,15308
869227993411051520,3562,19562
868880397819494401,13578,62750
868639477480148993,1956,0
868622495443632128,4988,25597
868552278524837888,1956,9682
867900495410671616,3946,23248
867774946302451713,6942,32620
867421006826221569,2350,15461
867072653475098625,115,0
867051520902168576,7436,30955
866720684873056260,4532,19284
866686824827068416,3289,18545
866450705531457537,33340,117625
866334964761202691,13504,50445
866094527597207552,7938,0
865718153858494464,5329,24715
865359393868664832,4743,25506
865006731092295680,7295,27003
864873206498414592,8257,31127
864279568663928832,2866,14065
864197398364647424,8424,28965
863907417377173506,3933,19872
863553081350529029,3987,14749
863471782782697472,2313,0
863432100342583297,4989,23000
863427515083354112,91,2147
863079547188785154,1055,8479
863062471531167744,2313,8183
862831371563274240,4902,18548
862722525377298433,3376,16523
862457590147678208,4706,19781
862096992088072192,22131,71953
861383897657036800,10244,34957
861288531465048066,3956,16635
861005113778896900,3653,16183
860981674716409858,2057,0
860924035999428608,770,0
860563773140209665,2057,7277
860524505164394496,5082,22920
860276583193509888,3348,17808
860184849394610176,5609,16177
860177593139703809,29677,0
859924526012018688,3936,19007
859851578198683649,3371,14987
859607811541651456,1500,18086
859196978902773760,28981,87422
859074603037188101,13116,32923
858860390427611136,7832,0
858843525470990336,3360,15161
