timestamp,tweet_id,source,text,retweet_count,favorite_count,dog_stage,name,rating_numerator,rating_denominator,image_folder,image_name,image_number,first_prediction_prediction,first_prediction_confidence,first_prediction_is_a_dog,second_prediction_prediction,second_prediction_confidence,second_prediction_is_a_dog,third_prediction_prediction,third_prediction_confidence,third_prediction_is_a_dog
2017-08-01 16:23:56+00:00,892420643555336193,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,7788,36584,floofer,phineas,13,10,media,DGKD1-bXoAAIAUK,1,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False
2017-08-01 00:17:27+00:00,892177421306343426,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",5769,31519,floofer,tilly,13,10,media,DGGmoV4XsAAUL6n,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2017-07-31 00:18:03+00:00,891815181378084864,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,3818,23752,floofer,archie,12,10,media,DGBdLU1WsAANxJ9,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
2017-07-30 15:58:51+00:00,891689557279858688,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,7960,39907,floofer,darla,13,10,media,DF_q7IAWsAEuuN8,1,paper towel,0.17027799999999998,False,Labrador retriever,0.168086,True,spatula,0.0408359,False
2017-07-29 16:00:24+00:00,891327558926688256,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",8594,38108,floofer,franklin,12,10,media,DF6hr6BUMAAzZgT,2,basset,0.555712,True,English springer,0.22577,True,German short-haired pointer,0.175219,True
2017-07-29 00:08:17+00:00,891087950875897856,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,2870,19167,floofer,majestic great white breaching off south africa's coast,13,10,media,DF3HwyEWsAABqE6,1,Chesapeake Bay retriever,0.425595,True,Irish terrier,0.116317,True,Indian elephant,0.07690219999999999,False
2017-07-28 16:27:12+00:00,890971913173991426,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",1881,11168,floofer,jax,13,10,media,DF1eOmZXUAALUcq,1,Appenzeller,0.34170300000000003,True,Border collie,0.199287,True,ice lolly,0.193548,False
2017-07-28 00:22:40+00:00,890729181411237888,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,17391,61681,floofer,-,13,10,media,DFyBahAVwAAhUTd,2,Pomeranian,0.566142,True,Eskimo dog,0.17840599999999998,True,Pembroke,0.0765069,True
2017-07-27 16:25:51+00:00,890609185150312448,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,3956,26409,floofer,zoey,13,10,media,DFwUU__XcAEpyXI,1,Irish terrier,0.487574,True,Irish setter,0.193054,True,Chesapeake Bay retriever,0.118184,True
2017-07-26 15:59:51+00:00,890240255349198849,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,6772,30204,doggo,cassie,14,10,media,DFrEyVuW0AAO3t9,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
